rule,premise,type1,conclusion
R29,generation-1/evolution-1,grass,generation-1/evolution-1/type1-grass
R30,generation-1/evolution-2,grass,generation-1/evolution-2/type1-grass
R31,generation-1/evolution-3,grass,generation-1/evolution-3/type1-grass
R32,generation-1/evolution-1,fire,generation-1/evolution-1/type1-fire
R33,generation-1/evolution-2,fire,generation-1/evolution-2/type1-fire
R34,generation-1/evolution-3,fire,generation-1/evolution-3/type1-fire
R35,generation-1/evolution-1,water,generation-1/evolution-1/type1-water
R36,generation-1/evolution-2,water,generation-1/evolution-2/type1-water
R37,generation-1/evolution-3,water,generation-1/evolution-3/type1-water
R38,generation-1/evolution-1,bug,generation-1/evolution-1/type1-bug
R39,generation-1/evolution-2,bug,generation-1/evolution-2/type1-bug
R40,generation-1/evolution-3,bug,generation-1/evolution-3/type1-bug
R41,generation-1/evolution-1,normal,generation-1/evolution-1/type1-normal
R42,generation-1/evolution-2,normal,generation-1/evolution-2/type1-normal
R43,generation-1/evolution-3,normal,generation-1/evolution-3/type1-normal
R44,generation-1/evolution-1,poison,generation-1/evolution-1/type1-poison
R45,generation-1/evolution-2,poison,generation-1/evolution-2/type1-poison
R46,generation-1/evolution-2,electric,generation-1/evolution-2/type1-electric
R47,generation-1/evolution-3,electric,generation-1/evolution-3/type1-electric
R48,generation-1/evolution-1,ground,generation-1/evolution-1/type1-ground
R49,generation-1/evolution-2,ground,generation-1/evolution-2/type1-ground
R50,generation-1/evolution-3,poison,generation-1/evolution-3/type1-poison
R51,generation-1/evolution-2,fairy,generation-1/evolution-2/type1-fairy
R52,generation-1/evolution-3,fairy,generation-1/evolution-3/type1-fairy
R53,generation-1/evolution-1,fighting,generation-1/evolution-1/type1-fighting
R54,generation-1/evolution-2,fighting,generation-1/evolution-2/type1-fighting
R55,generation-1/evolution-1,psychic,generation-1/evolution-1/type1-psychic
R56,generation-1/evolution-2,psychic,generation-1/evolution-2/type1-psychic
R57,generation-1/evolution-3,psychic,generation-1/evolution-3/type1-psychic
R58,generation-1/evolution-3,fighting,generation-1/evolution-3/type1-fighting
R59,generation-1/evolution-1,rock,generation-1/evolution-1/type1-rock
R60,generation-1/evolution-2,rock,generation-1/evolution-2/type1-rock
R61,generation-1/evolution-3,rock,generation-1/evolution-3/type1-rock
R62,generation-1/evolution-1,electric,generation-1/evolution-1/type1-electric
R63,generation-1/evolution-1,ghost,generation-1/evolution-1/type1-ghost
R64,generation-1/evolution-2,ghost,generation-1/evolution-2/type1-ghost
R65,generation-1/evolution-3,ghost,generation-1/evolution-3/type1-ghost
R66,generation-1/evolution-2,ice,generation-1/evolution-2/type1-ice
R67,generation-1/evolution-1,ice,generation-1/evolution-1/type1-ice
R68,generation-1/evolution-1,dragon,generation-1/evolution-1/type1-dragon
R69,generation-1/evolution-2,dragon,generation-1/evolution-2/type1-dragon
R70,generation-1/evolution-3,dragon,generation-1/evolution-3/type1-dragon
R71,generation-2/evolution-1,grass,generation-2/evolution-1/type1-grass
R72,generation-2/evolution-2,grass,generation-2/evolution-2/type1-grass
R73,generation-2/evolution-3,grass,generation-2/evolution-3/type1-grass
R74,generation-2/evolution-1,fire,generation-2/evolution-1/type1-fire
R75,generation-2/evolution-2,fire,generation-2/evolution-2/type1-fire
R76,generation-2/evolution-3,fire,generation-2/evolution-3/type1-fire
R77,generation-2/evolution-1,water,generation-2/evolution-1/type1-water
R78,generation-2/evolution-2,water,generation-2/evolution-2/type1-water
R79,generation-2/evolution-3,water,generation-2/evolution-3/type1-water
R80,generation-2/evolution-1,normal,generation-2/evolution-1/type1-normal
R81,generation-2/evolution-2,normal,generation-2/evolution-2/type1-normal
R82,generation-2/evolution-1,bug,generation-2/evolution-1/type1-bug
R83,generation-2/evolution-2,bug,generation-2/evolution-2/type1-bug
R84,generation-2/evolution-3,poison,generation-2/evolution-3/type1-poison
R85,generation-2/evolution-1,electric,generation-2/evolution-1/type1-electric
R86,generation-2/evolution-1,fairy,generation-2/evolution-1/type1-fairy
R87,generation-2/evolution-2,fairy,generation-2/evolution-2/type1-fairy
R88,generation-2/evolution-1,psychic,generation-2/evolution-1/type1-psychic
R89,generation-2/evolution-2,psychic,generation-2/evolution-2/type1-psychic
R90,generation-2/evolution-2,electric,generation-2/evolution-2/type1-electric
R91,generation-2/evolution-3,electric,generation-2/evolution-3/type1-electric
R92,generation-2/evolution-2,rock,generation-2/evolution-2/type1-rock
R93,generation-2/evolution-2,dark,generation-2/evolution-2/type1-dark
R94,generation-2/evolution-1,dark,generation-2/evolution-1/type1-dark
R95,generation-2/evolution-1,ghost,generation-2/evolution-1/type1-ghost
R96,generation-2/evolution-1,ground,generation-2/evolution-1/type1-ground
R97,generation-2/evolution-2,steel,generation-2/evolution-2/type1-steel
R98,generation-2/evolution-1,ice,generation-2/evolution-1/type1-ice
R99,generation-2/evolution-2,ice,generation-2/evolution-2/type1-ice
R100,generation-2/evolution-1,steel,generation-2/evolution-1/type1-steel
R101,generation-2/evolution-2,ground,generation-2/evolution-2/type1-ground
R102,generation-2/evolution-1,fighting,generation-2/evolution-1/type1-fighting
R103,generation-2/evolution-2,fighting,generation-2/evolution-2/type1-fighting
R104,generation-2/evolution-3,normal,generation-2/evolution-3/type1-normal
R105,generation-2/evolution-1,rock,generation-2/evolution-1/type1-rock
R106,generation-2/evolution-3,rock,generation-2/evolution-3/type1-rock
R107,generation-3/evolution-1,grass,generation-3/evolution-1/type1-grass
R108,generation-3/evolution-2,grass,generation-3/evolution-2/type1-grass
R109,generation-3/evolution-3,grass,generation-3/evolution-3/type1-grass
R110,generation-3/evolution-1,fire,generation-3/evolution-1/type1-fire
R111,generation-3/evolution-2,fire,generation-3/evolution-2/type1-fire
R112,generation-3/evolution-3,fire,generation-3/evolution-3/type1-fire
R113,generation-3/evolution-1,water,generation-3/evolution-1/type1-water
R114,generation-3/evolution-2,water,generation-3/evolution-2/type1-water
R115,generation-3/evolution-3,water,generation-3/evolution-3/type1-water
R116,generation-3/evolution-1,dark,generation-3/evolution-1/type1-dark
R117,generation-3/evolution-2,dark,generation-3/evolution-2/type1-dark
R118,generation-3/evolution-1,normal,generation-3/evolution-1/type1-normal
R119,generation-3/evolution-2,normal,generation-3/evolution-2/type1-normal
R120,generation-3/evolution-1,bug,generation-3/evolution-1/type1-bug
R121,generation-3/evolution-2,bug,generation-3/evolution-2/type1-bug
R122,generation-3/evolution-3,bug,generation-3/evolution-3/type1-bug
R123,generation-3/evolution-1,psychic,generation-3/evolution-1/type1-psychic
R124,generation-3/evolution-2,psychic,generation-3/evolution-2/type1-psychic
R125,generation-3/evolution-3,psychic,generation-3/evolution-3/type1-psychic
R126,generation-3/evolution-3,normal,generation-3/evolution-3/type1-normal
R127,generation-3/evolution-1,fighting,generation-3/evolution-1/type1-fighting
R128,generation-3/evolution-2,fighting,generation-3/evolution-2/type1-fighting
R129,generation-3/evolution-1,rock,generation-3/evolution-1/type1-rock
R130,generation-3/evolution-1,steel,generation-3/evolution-1/type1-steel
R131,generation-3/evolution-2,steel,generation-3/evolution-2/type1-steel
R132,generation-3/evolution-3,steel,generation-3/evolution-3/type1-steel
R133,generation-3/evolution-1,electric,generation-3/evolution-1/type1-electric
R134,generation-3/evolution-2,electric,generation-3/evolution-2/type1-electric
R135,generation-3/evolution-1,poison,generation-3/evolution-1/type1-poison
R136,generation-3/evolution-2,poison,generation-3/evolution-2/type1-poison
R137,generation-3/evolution-1,ground,generation-3/evolution-1/type1-ground
R138,generation-3/evolution-2,ground,generation-3/evolution-2/type1-ground
R139,generation-3/evolution-3,ground,generation-3/evolution-3/type1-ground
R140,generation-3/evolution-2,dragon,generation-3/evolution-2/type1-dragon
R141,generation-3/evolution-2,rock,generation-3/evolution-2/type1-rock
R142,generation-3/evolution-1,ghost,generation-3/evolution-1/type1-ghost
